chipUid;captureDate;captureAddressPostCode;captureAddressPostName;captureAddressThoroughfare;captureAddressLocatorDesignator;captureAddressLocatorBuilding;captureAddressDescription;captureLat;captureLon;animalSpecies;animalBreed;animalSex;animalColor;animalAge;animalFur;animalHeight;animalWeight;vaccinationsInfo;isSterilizationInfo;releasedDate;releasedAddressPostCode;releasedAddressPostName;releasedAddressThoroughfare;releasedAddressLocatorDesignator;releasedAddressLocatorBuilding;releasedAddressDescription;releasedLat;releasedLon;days_in_captivity;captureYear;captureMonth
2546;2025-01-10;76018;Івано-Франківськ;вул. Шота Руставелі;1;;;48.916838;24.725518;собака;;Самиця;руда;2-3 роки;короткошерстна;50.0;19.0;;ІСТИНА;2025-01-15;76018;Івано-Франківськ;вул. Шота Руставелі;1;;;48.916838;24.725518;5.0;2025.0;1.0
2547;2025-01-12;76018;Івано-Франківськ;вул.Мазепи;164;;;48.911017;24.684906;собака;;Самиця;чорна;2-3 роки;довгошерстна;40.0;22.0;;ІСТИНА;2025-01-21;76018;Івано-Франківськ;вул.. Мазепи;164;;;48.911017;24.684906;9.0;2025.0;1.0
2549;2025-01-23;76018;Івано-Франківськ;вул.Мельника;;;;48.901259;24.714226;собака;;Самець;тигровий;3-6 років;короткошерстна;60.0;49.0;;ІСТИНА;2025-01-23;76018;Івано-Франківськ;вул.. Коновальця ;район Велмарт;;;48.901259;24.714226;0.0;2025.0;1.0
2550;2025-01-17;76495;Івано-Франківськ;вул.Автоливмашівська;6;;;48.89071;24.748759;собака;;Самиця;чорна з підпалом;3-6 років;короткошерстна;60.0;41.0;;ІСТИНА;2025-01-29;76495;Івано-Франківськ;вул.Автоливмашівська;6;;;48.89071;24.748759;12.0;2025.0;1.0
2552;2025-01-21;76492;с.Угорники;вул.Тополина ;;;;48.925983;24.770039;собака;;Самець;рудий;2-3 роки;довгошерстний;40.0;21.0;;ІСТИНА;2025-01-27;76492;с.Угорники;вул.Тополина ;;;;48.925983;24.770039;6.0;2025.0;1.0
2553;2025-01-21;76495;с.Хриплин;дачі;;;;48.874734;24.754304;собака;;Самиця;чорна;1 рік;короткошерстна;35.0;16.0;;ІСТИНА;2025-01-28;76495;с.Хриплин;дачі;;;;48.874734;24.754304;7.0;2025.0;1.0
2557;2025-01-24;76000;Івано-Франківськ;вул. Федьковича;;;;48.942564;24.693325;собака;;Самець;трьохколірний;2-3 роки;довгошерстний;70.0;40.0;;ІСТИНА;2025-01-27;76000;Івано-Франківськ;вул. Федьковича;;;;48.942564;24.693325;3.0;2025.0;1.0
2560;2025-02-03;76018;Івано-Франківськ;вул. Мазепи;міське озеро;;;48.914089;24.694866;собака;;Самиця;чорна;2-3 роки;короткошерстна;60.0;46.0;;ІСТИНА;2025-02-07;76018;Івано-Франківськ;вул. Мазепи;міське озеро;;;48.914089;24.694866;4.0;2025.0;2.0
2562;2025-02-03;76005;Івано-Франківськ;вул. Довженка;гаражний кооператив;;;48.901382;24.689844;собака;;Самиця;коричнева      1 рік;1 рік;довгошерстна;40.0;32.0;;ІСТИНА;2025-02-10;76005;Івано-Франківськ;вул. Довженка;гаражний кооператив;;;48.901382;24.689844;7.0;2025.0;2.0
2563;2025-02-03;76019;Івано-Франківськ;вул. В. Ветеранів ;3а;;;48.92668;24.71098;собака;;Самиця;трьохколірна;1 рік;короткошерстна;50.0;31.0;;ІСТИНА;2025-02-07;76019;Івано-Франківськ;вул. В. Ветеранів ;3а;;;48.92668;24.71098;4.0;2025.0;2.0
